,Type,Team,Group,Position,Name,DOB,Age,Caps,Goals,Country and Club
147,Age,Portugal,B,FW,Cristiano Ronaldo (captain),1985-02-05,33,149,81,Spain Real Madrid
286,Age,Argentina,D,FW,Lionel Messi (captain),1987-06-24,31,123,61,Spain Barcelona
378,Age,Brazil,E,FW,Neymar,1992-02-05,26,83,53,France Paris Saint-Germain
700,Age,Poland,H,FW,Robert Lewandowski (captain),1988-08-21,30,93,52,Germany Bayern Munich
78,Age,Uruguay,A,FW,Luis Suárez,1987-01-24,31,97,50,Spain Barcelona
675,Age,Japan,H,FW,Shinji Okazaki,1986-04-16,32,111,50,England Leicester City
194,Age,Australia,C,FW,Tim Cahill,1979-12-06,39,105,50,England Millwall
493,Age,Mexico,F,FW,Javier Hernández,1988-06-01,30,100,49,England West Ham United
607,Age,Panama,G,FW,Blas Pérez,1981-03-13,37,116,43,Guatemala Municipal
610,Age,Panama,G,FW,Luis Tejada,1982-03-28,36,104,43,Peru Sport Boys
77,Age,Uruguay,A,FW,Edinson Cavani,1987-02-14,31,100,42,France Paris Saint-Germain
469,Age,Germany,F,FW,Thomas Müller,1989-09-13,29,90,38,Germany Bayern Munich
288,Age,Argentina,D,FW,Sergio Agüero,1988-06-02,30,84,36,England Manchester City
264,Age,Peru,C,FW,Paolo Guerrero (captain),1984-01-01,34,87,34,Brazil Flamengo
10,Age,Egypt,A,FW,Mohamed Salah,1992-06-15,26,57,33,England Liverpool
468,Age,Germany,F,FW,Mario Gómez,1985-07-10,33,73,31,Germany VfB Stuttgart
285,Age,Argentina,D,FW,Gonzalo Higuaín,1987-12-10,31,70,31,Italy Juventus
242,Age,France,C,FW,Olivier Giroud,1986-09-30,32,71,30,England Chelsea
310,Age,Croatia,D,FW,Mario Mandžukić,1986-05-21,32,82,30,Italy Juventus
560,Age,Belgium,G,FW,Romelu Lukaku,1993-05-13,25,63,30,England Manchester United
